"","LocNombre","LocAAdmini","LocArea","LocCodigo","SHAPE_Leng","SHAPE_Area","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"1","ANTONIO NARIÃ‘O","Acuerdo 117 de 2003",4879543.38643,"15",0.10897302011,0.00039734136,1,23,17,17,8,20,89,0.0112359550561798,0.258426966292135,0.191011235955056,0.191011235955056,0.0898876404494382,0.224719101123595
"2","TUNJUELITO","Acuerdo 117 de 2003",9910939.74357,"06",0.21054198767,0.00080703275,13,24,42,50,40,12,187,0.0695187165775401,0.128342245989305,0.224598930481283,0.267379679144385,0.213903743315508,0.0641711229946524
"3","RAFAEL URIBE URIBE","Acuerdo 117 de 2003",13834084.8065,"18",0.1745126979,0.00112647549,20,88,79,41,26,14,293,0.068259385665529,0.300341296928328,0.26962457337884,0.139931740614334,0.0887372013651877,0.0477815699658703
"4","CANDELARIA","Acuerdo 117 de 2003",2060242.92048,"17",0.06715788033,0.00016776716,2,13,15,1,1,3,36,0.0555555555555556,0.361111111111111,0.416666666666667,0.0277777777777778,0.0277777777777778,0.0833333333333333
"5","BARRIOS UNIDOS","Acuerdo 8 de 1977",11903448.2049,"12",0.12118017098,0.00096940568,34,33,59,53,20,5,232,0.146551724137931,0.142241379310345,0.254310344827586,0.228448275862069,0.0862068965517241,0.021551724137931
"6","TEUSAQUILLO","Acuerdo 8 de 1977",14193168.1275,"13",0.14831441196,0.00115583267,11,36,79,71,41,14,270,0.0407407407407407,0.133333333333333,0.292592592592593,0.262962962962963,0.151851851851852,0.0518518518518519
"7","PUENTE ARANDA","Acuerdo 8 de 1977",17311149.9363,"16",0.16111565994,0.00140969995,13,86,134,66,23,29,367,0.0354223433242507,0.23433242506812,0.365122615803815,0.17983651226158,0.0626702997275204,0.0790190735694823
"8","LOS MARTIRES","Acuerdo 8 de 1977",6514046.2604,"14",0.09938223247,0.00053044988,10,40,42,33,13,7,165,0.0606060606060606,0.242424242424242,0.254545454545455,0.2,0.0787878787878788,0.0424242424242424
"9","SUMAPAZ","Acuerdo 9 de 1986",780968757.719,"20",1.91494941985,0.06354912675,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"10","USAQUEN","Acuerdo 8 de 1977 y Res 1751 de 2016",65201413.7656,"01",0.43690690072,0.00531045069,39,201,184,171,42,16,671,0.0581222056631893,0.299552906110283,0.274217585692996,0.254843517138599,0.0625931445603577,0.0238450074515648
"11","CHAPINERO","Acuerdo 8 de 1977 y Res 1751 de 2016",38008914.9942,"02",0.33396615612,0.00309529269,24,109,74,60,28,14,316,0.0759493670886076,0.34493670886076,0.234177215189873,0.189873417721519,0.0886075949367089,0.0443037974683544
"12","SANTA FE","Acuerdo 117 de 2003",45170645.8674,"03",0.39505198881,0.00367825909,12,46,40,26,19,13,186,0.0645161290322581,0.247311827956989,0.21505376344086,0.139784946236559,0.102150537634409,0.0698924731182796
"13","SAN CRISTOBAL","Acuerdo 117 de 2003",49098548.5272,"04",0.36368923689,0.00399787067,45,140,81,40,25,12,394,0.114213197969543,0.355329949238579,0.205583756345178,0.101522842639594,0.0634517766497462,0.0304568527918782
"14","USME","Acuerdo 15 de 1993",215066686.644,"05",0.98296930022,0.01750825047,10,152,96,14,6,2,317,0.0315457413249211,0.479495268138801,0.302839116719243,0.0441640378548896,0.0189274447949527,0.00630914826498423
"15","CIUDAD BOLIVAR","Acuerdo 14 de 1983",130002593.083,"19",0.70213625374,0.01058460229,71,222,129,58,42,8,576,0.123263888888889,0.385416666666667,0.223958333333333,0.100694444444444,0.0729166666666667,0.0138888888888889
"16","BOSA","Acuerdo 14 de 1983",23933196.0887,"07",0.30790145306,0.00194896799,48,101,97,64,33,58,444,0.108108108108108,0.227477477477477,0.218468468468468,0.144144144144144,0.0743243243243243,0.130630630630631
"17","KENNEDY","Acuerdo 8 de 1977",38589733.8114,"08",0.28358181296,0.00314254262,51,263,198,126,106,72,904,0.0564159292035398,0.290929203539823,0.219026548672566,0.139380530973451,0.117256637168142,0.079646017699115
"18","FONTIBON","Acuerdo 8 de 1977",33281002.4935,"09",0.32191534592,0.0027104016,52,118,66,45,40,15,380,0.136842105263158,0.310526315789474,0.173684210526316,0.118421052631579,0.105263157894737,0.0394736842105263
"19","ENGATIVA","Acuerdo 8 de 1977",35880967.3471,"10",0.29196621565,0.0029222461,63,201,147,133,89,38,763,0.0825688073394495,0.26343381389253,0.192660550458716,0.174311926605505,0.116644823066841,0.0498034076015727
"20","SUBA","Acuerdo 8 de 1977",100560477.71,"11",0.59287510509,0.00819062467,110,298,195,101,31,14,820,0.134146341463415,0.363414634146341,0.23780487804878,0.123170731707317,0.0378048780487805,0.0170731707317073
