"","cod_loc","nomb_loc","cod_upz","nom_upz","area_urbana","poblacion_u","densidad_ur","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_COD_UPZ_EM","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_UPZ","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NomUPZ","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_mujer","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_hombre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jefe_Hogar_Mujer","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jefe_Hogar_Hombre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInf_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInf_NiÃ±os_5_17_aÃ±os_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInfampliado_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInfampliado_NiÃ±os_5_17_aÃ±os_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os_NINI","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os_NINI_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NiÃ±os_0_14_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_65_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Indice_Envegecimiento","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_60_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_60_aÃ±os_en_Hogar_Pobre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Indigena","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Gitano","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Raizal","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Palenquera","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Afro","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_PoblaciÃ³n_discapacitada","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_mismosexo","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_Victimas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_Victimas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_con_poblac_discapacitada","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"53",19,"CIUDAD BOLIVAR",66,"SAN FRANCISCO",178.603384328,76213,426.716438139,66,"UPZ66","SAN FRANCISCO",95541,10168,9987,30585,13467,17118,18177,273,1.5,18,0.1,17726,4025,22.7,20750,6290,30.3,9095,1640,37,0,47,0,1422,4421,0,145,489,3974,8,15,18,11,3,1,61,0.131147540983607,0.245901639344262,0.295081967213115,0.180327868852459,0.0491803278688525,0.0163934426229508
"54",1,"USAQUEN",9,"VERBENAL",355.788448029,96310,270.694567329,804,"UPZ9","VERBENAL",131490,25875,25414,46262,18579,27683,24922,418,1.7,395,1.6,22081,3316,15,27147,7500,27.6,11858,1533,208,0,0,0,1247,4040,225,35,142,3267,9,24,48,22,3,2,109,0.0825688073394495,0.220183486238532,0.440366972477064,0.201834862385321,0.0275229357798165,0.018348623853211
"55",3,"SANTA FE",93,"LAS NIEVES",172.57386015,13773,79.8093059287,814,"UPZ93","LAS NIEVES",17226,60654,59569,10129,4491,5638,1571,55,3.5,1975,125.7,2420,239,9.9,1627,2168,133.3,3238,314,93,0,27,0,162,1051,105,29,145,930,1,4,9,12,11,7,45,0.0222222222222222,0.0888888888888889,0.2,0.266666666666667,0.244444444444444,0.155555555555556
"56",4,"SAN CRISTOBAL",34,"20 DE JULIO",262.535666687,92353,351.773155874,34,"UPZ34","20 DE JULIO",88155,48202,47339,26443,10467,15976,15999,335,2.1,891,5.6,14707,2507,17,17634,6396,36.3,9807,1406,54,0,0,47,1787,3223,82,208,654,2819,12,26,13,13,6,5,75,0.16,0.346666666666667,0.173333333333333,0.173333333333333,0.08,0.0666666666666667
"57",6,"TUNJUELITO",62,"TUNJUELITO",327.24823667,57699,176.315694126,62,"UPZ62","TUNJUELITO",50000,69159,67923,16181,6259,9922,9657,126,1.3,875,9.1,8633,1291,15,10488,4118,39.3,5766,1305,177,0,15,0,720,1832,21,88,230,1635,1,7,11,8,9,7,45,0.0222222222222222,0.155555555555556,0.244444444444444,0.177777777777778,0.2,0.155555555555556
"58",7,"BOSA",85,"BOSA CENTRAL",714.656412136,221236,309.569740428,85,"UPZ85","BOSA CENTRAL",286332,23152,22738,89479,30824,58654,58177,440,0.8,355,0.6,49777,9502,19.1,63781,15807,24.8,25516,7614,240,0,96,0,1165,8474,130,770,3579,7729,38,46,26,9,18,30,185,0.205405405405405,0.248648648648649,0.140540540540541,0.0486486486486487,0.0972972972972973,0.162162162162162
"59",8,"KENNEDY",80,"CORABASTOS",184.525478991,69277,375.433248453,80,"UPZ80","CORABASTOS",78438,42130,41375,23686,7590,16096,17240,266,1.5,1584,9.2,14399,3011,20.9,19012,2955,15.5,4546,1090,120,0,21,0,1501,2386,34,305,1292,2168,6,2,0,8,8,4,29,0.206896551724138,0.0689655172413793,0,0.275862068965517,0.275862068965517,0.137931034482759
"60",9,"FONTIBON",77,"ZONA FRANCA",490.212344089,39664,80.9118751869,77,"UPZ77","ZONA FRANCA",43840,25278,24828,13625,4280,9345,8409,53,0.6,442,5.3,7048,1047,14.9,9468,1334,14.1,2083,229,105,0,0,0,356,1230,11,109,386,1083,3,16,5,0,0,0,24,0.125,0.666666666666667,0.208333333333333,0,0,0
"61",9,"FONTIBON",115,"CAPELLANIA",272.109155246,16657,61.2144048771,813,"UPZ115","CAPELLANIA",22285,8087,7943,7360,2798,4562,3498,23,0.7,326,9.3,3464,385,11.1,3875,1346,34.7,2090,164,0,0,11,0,103,451,0,23,91,386,8,6,7,9,6,0,40,0.2,0.15,0.175,0.225,0.15,0
"62",10,"ENGATIVA",26,"LAS FERIAS",473.343150688,110859,234.204297324,26,"UPZ26","LAS FERIAS",120959,44382,43591,43339,16948,26391,18271,92,0.5,626,3.4,18627,2293,12.3,19258,13727,71.3,18245,1054,83,0,0,0,432,5137,0,110,158,4564,9,39,20,25,13,4,135,0.0666666666666667,0.288888888888889,0.148148148148148,0.185185185185185,0.0962962962962963,0.0296296296296296
"63",10,"ENGATIVA",29,"EL MINUTO DE DIOS",373.264507687,147709,395.72206025,29,"UPZ29","MINUTO DE DIOS",156375,8930,8158,47781,17714,30067,23205,251,1.1,192,0.8,22292,2799,12.6,25987,18487,71.1,25219,2120,188,0,56,0,609,8370,168,103,355,6989,6,17,10,15,11,5,68,0.0882352941176471,0.25,0.147058823529412,0.220588235294118,0.161764705882353,0.0735294117647059
"64",10,"ENGATIVA",31,"SANTA CECILIA",308.579767892,65210,211.322992578,810,"UPZ31","SANTA CECILIA",90943,51955,51026,32286,11562,20725,12459,0,0,663,5.3,14590,1030,7.1,13669,10468,76.6,13773,1052,127,0,0,0,287,4184,64,0,0,3314,8,22,14,18,12,0,78,0.102564102564103,0.282051282051282,0.179487179487179,0.230769230769231,0.153846153846154,0
"65",11,"SUBA",2,"LA ACADEMIA",672.073080488,920,1.3688987503,806,"UPZ2","LA ACADEMIA",66427,69606,68365,21681,8255,13426,10604,20,0.2,1863,17.6,10515,1174,11.2,10995,5719,52,8233,299,29,0,0,0,156,1752,0,78,145,1655,7,0,4,5,1,1,19,0.368421052631579,0,0.210526315789474,0.263157894736842,0.0526315789473684,0.0526315789473684
"66",11,"SUBA",20,"LA ALHAMBRA",284.774117529,36637,128.652843587,805,"UPZ20","LA ALHAMBRA",91513,13463,13222,38426,15271,23155,10475,0,0,172,1.6,11574,493,4.3,10355,14585,140.8,19034,197,44,95,41,0,73,2097,382,41,41,1930,4,15,11,4,4,0,40,0.1,0.375,0.275,0.1,0.1,0
"67",11,"SUBA",71,"TIBABUYES",726.380148869,222576,306.418065453,71,"UPZ71","TIBABUYES",265459,102380,100554,80012,29860,50152,56602,722,1.3,2924,5.2,45835,8989,19.6,60700,12320,20.3,18264,3000,1013,0,0,0,915,5638,0,179,648,5062,25,67,50,6,0,0,156,0.16025641025641,0.429487179487179,0.320512820512821,0.0384615384615385,0,0
"68",12,"BARRIOS UNIDOS",21,"LOS ANDES",274.816645782,46625,169.658573145,21,"UPZ21","LOS ANDES",54214,28376,27871,19578,7587,11991,6175,130,2.1,441,7.1,7096,812,11.4,6640,7540,113.6,10519,309,41,0,0,0,73,1801,68,59,234,1660,8,12,8,8,5,2,47,0.170212765957447,0.25531914893617,0.170212765957447,0.170212765957447,0.106382978723404,0.0425531914893617
"69",14,"LOS MARTIRES",37,"SANTA ISABEL",200.462673252,45086,224.909701485,37,"UPZ37","SANTA ISABEL",43337,95225,93526,15491,6241,9250,6204,99,1.6,2803,45.2,6730,879,13.1,6518,4565,70,6728,393,142,11,0,0,224,1316,30,60,139,1202,3,31,15,7,5,1,68,0.0441176470588235,0.455882352941176,0.220588235294118,0.102941176470588,0.0735294117647059,0.0147058823529412
"70",16,"PUENTE ARANDA",108,"ZONA INDUSTRIAL",346.95352294,4247,12.2408326165,809,"UPZ108","ZONA INDUSTRIAL",18183,25244,24793,7051,2798,4253,2112,35,1.7,362,17.2,3578,677,18.9,2305,1187,51.5,1668,350,111,0,16,0,119,1351,27,58,170,1132,3,10,21,14,6,2,60,0.05,0.166666666666667,0.35,0.233333333333333,0.1,0.0333333333333333
"71",18,"RAFAEL URIBE URIBE",54,"MARRUECOS",362.888498604,96465,265.825454295,54,"UPZ54","MARRUECOS",91749,26539,26062,30479,12211,18268,17730,112,0.6,201,1.1,16131,2996,18.6,19751,4561,23.1,7333,1582,0,0,0,0,395,2321,30,93,416,2129,5,7,19,17,3,3,56,0.0892857142857143,0.125,0.339285714285714,0.303571428571429,0.0535714285714286,0.0535714285714286
"72",1,"USAQUEN",10,"LA URIBE",345.2642542,17055,49.3969468097,804,"UPZ10","LA URIBE",131490,25875,25414,46262,18579,27683,24922,418,1.7,395,1.6,22081,3316,15,27147,7500,27.6,11858,1533,208,0,0,0,1247,4040,225,35,142,3267,0,10,8,19,4,0,42,0,0.238095238095238,0.19047619047619,0.452380952380952,0.0952380952380952,0
"73",5,"USME",56,"DANUBIO",288.740865613,36193,125.347688223,812,"UPZ56","DANUBIO",40778,66337,65153,12603,4481,8121,9611,125,1.3,1389,14.5,7959,2207,27.7,10326,1641,15.9,2885,917,46,0,0,0,671,1480,8,69,176,1362,3,23,9,0,0,0,38,0.0789473684210526,0.605263157894737,0.236842105263158,0,0,0
"74",5,"USME",58,"COMUNEROS",493.035619032,86795,176.042047774,58,"UPZ58","COMUNEROS",79549,67360,66155,22098,8939,13159,17807,57,0.3,2130,12,15837,3345,21.1,18113,3520,19.4,5916,1796,302,0,0,47,323,2880,49,281,1023,2536,3,46,21,3,0,0,77,0.038961038961039,0.597402597402597,0.272727272727273,0.038961038961039,0,0
"75",5,"USME",60,"PARQUE ENTRENUBES",382.019721793,1948,0,812,"UPZ60","PARQUE ENTRENUBES",40778,66337,65153,12603,4481,8121,9611,125,1.3,1389,14.5,7959,2207,27.7,10326,1641,15.9,2885,917,46,0,0,0,671,1480,8,69,176,1362,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"76",7,"BOSA",87,"TINTAL SUR",576.903769222,42439,73.5633952561,87,"UPZ87","TINTAL SUR",76996,48791,47919,23126,7796,15330,17461,63,0.4,878,5,12502,2599,20.8,20125,1965,9.8,3163,612,105,0,0,0,2618,4998,0,89,273,3634,0,9,14,12,1,12,49,0,0.183673469387755,0.285714285714286,0.244897959183673,0.0204081632653061,0.244897959183673
"77",8,"KENNEDY",78,"TINTAL NORTE",343.372626881,29348,85.4698298655,78,"UPZ78","TINTAL NORTE",20155,33345,32749,6054,1886,4169,4424,6,0.1,779,17.6,3124,529,16.9,6174,742,12,1239,158,54,0,24,0,23,495,0,12,29,444,1,9,1,0,2,0,21,0.0476190476190476,0.428571428571429,0.0476190476190476,0,0.0952380952380952,0
"78",9,"FONTIBON",117,"AEROPUERTO EL DORADO",743.536979514,835,1.1230107217,813,"UPZ117","AEROPUERTO EL DORADO",22285,8087,7943,7360,2798,4562,3498,23,0.7,326,9.3,3464,385,11.1,3875,1346,34.7,2090,164,0,0,11,0,103,451,0,23,91,386,2,1,3,2,11,2,25,0.08,0.04,0.12,0.08,0.44,0.08
"79",10,"ENGATIVA",30,"BOYACA REAL",453.781819192,121920,268.675374031,30,"UPZ30","BOYACA REAL",141449,27160,26677,45683,16809,28873,22095,71,0.3,76,0.3,22454,2623,11.7,23970,15045,62.8,21083,1401,429,0,0,0,575,8201,0,72,360,6337,18,53,15,30,18,1,144,0.125,0.368055555555556,0.104166666666667,0.208333333333333,0.125,0.00694444444444444
"80",11,"SUBA",19,"EL PRADO",433.403358117,89013,205.381426639,19,"UPZ19","EL PRADO",121158,61537,60440,44531,14645,29887,17032,59,0.3,1359,8,18368,1506,8.2,18677,11030,59.1,16184,875,50,170,0,0,781,3942,141,0,0,3431,3,45,15,0,3,0,67,0.0447761194029851,0.671641791044776,0.223880597014925,0,0.0447761194029851,0
"81",12,"BARRIOS UNIDOS",98,"LOS ALCAZARES",414.026997622,82086,198.262433299,98,"UPZ98","LOS ALCAZARES",90912,35295,34666,35298,15259,20039,11570,80,0.7,299,2.6,11774,599,5.1,11262,12025,106.8,16547,1017,44,34,533,0,604,5193,229,176,475,4770,20,16,29,19,8,0,105,0.19047619047619,0.152380952380952,0.276190476190476,0.180952380952381,0.0761904761904762,0
"82",15,"ANTONIO NARIÃ‘O",35,"CIUDAD JARDIN",133.239133285,30913,232.01141615,35,"UPZ35","CIUDAD JARDIN",31700,99014,97248,9983,3909,6074,4845,138,2.8,1205,24.9,5153,695,13.5,4974,3372,67.8,4897,242,267,12,17,0,515,3584,0,38,101,2605,0,7,2,5,1,7,23,0,0.304347826086957,0.0869565217391304,0.217391304347826,0.0434782608695652,0.304347826086957
"83",18,"RAFAEL URIBE URIBE",36,"SAN JOSE",207.947107119,49050,235.877289564,801,"UPZ36","SAN JOSE",105367,12216,11999,34623,10820,23803,18988,366,1.9,211,1.1,16673,3628,21.8,20647,9193,44.5,13120,2612,334,0,27,0,1345,5186,0,90,351,4479,1,10,7,5,2,6,36,0.0277777777777778,0.277777777777778,0.194444444444444,0.138888888888889,0.0555555555555556,0.166666666666667
"84",19,"CIUDAD BOLIVAR",70,"JERUSALEM",537.476344439,98693,183.622965031,70,"UPZ70","JERUSALEM",112706,46513,45687,32398,11921,20477,25438,463,1.8,1003,3.9,21318,5521,25.9,28610,4548,15.9,7519,2151,61,46,242,0,1576,5417,83,157,563,4524,18,30,8,4,1,0,66,0.272727272727273,0.454545454545455,0.121212121212121,0.0606060606060606,0.0151515151515152,0
"85",2,"CHAPINERO",88,"EL REFUGIO",335.978485908,30763,91.5624103635,817,"UPZ88","EL REFUGIO",52951,20572,20206,26115,11665,14450,5187,0,0,883,17,7364,313,4.3,5176,7941,153.4,10848,586,178,0,0,0,83,3718,86,49,147,2755,1,13,16,7,3,0,41,0.024390243902439,0.317073170731707,0.390243902439024,0.170731707317073,0.0731707317073171,0
"86",3,"SANTA FE",91,"SAGRADO CORAZON",146.189273671,5879,40.214988777,814,"UPZ91","SAGRADO CORAZON",17226,60654,59569,10129,4491,5638,1571,55,3.5,1975,125.7,2420,239,9.9,1627,2168,133.3,3238,314,93,0,27,0,162,1051,105,29,145,930,0,11,6,10,4,6,37,0,0.297297297297297,0.162162162162162,0.27027027027027,0.108108108108108,0.162162162162162
"87",7,"BOSA",86,"EL PORVENIR",461.032121294,73629,159.704707328,86,"UPZ86","EL PORVENIR",87973,44475,43680,25256,9946,15310,19044,111,0.6,1396,7.3,14820,3676,24.8,22246,3125,14,5811,1478,135,50,52,62,2514,4017,0,378,1202,3343,4,6,15,13,0,0,51,0.0784313725490196,0.117647058823529,0.294117647058824,0.254901960784314,0,0
"88",8,"KENNEDY",44,"AMERICAS",380.969402333,84584,222.023079759,44,"UPZ44","AMERICAS",106843,75065,73726,35926,11525,24401,16179,205,1.3,1526,9.4,17011,2051,12.1,16327,8303,50.9,13166,945,129,346,0,0,278,2878,66,317,544,2740,5,18,27,33,9,1,100,0.05,0.18,0.27,0.33,0.09,0.01
"89",8,"KENNEDY",48,"TIMIZA",430.438314853,147298,342.204666539,48,"UPZ48","TIMIZA",184182,90676,89056,61280,18736,42544,32114,166,0.5,1907,5.9,30832,4822,15.6,33180,12862,38.8,19497,4801,39,0,53,0,766,4687,78,123,432,4402,8,51,36,9,10,10,136,0.0588235294117647,0.375,0.264705882352941,0.0661764705882353,0.0735294117647059,0.0735294117647059
"90",8,"KENNEDY",82,"PATIO BONITO",317.321661524,174145,548.796445738,82,"UPZ82","PATIO BONITO",202934,35478,34847,64552,21180,43371,41286,556,1.3,1010,2.4,35984,8277,23,46027,9125,19.8,14601,3070,475,80,0,89,3413,4999,181,650,2045,4545,12,37,17,4,0,4,90,0.133333333333333,0.411111111111111,0.188888888888889,0.0444444444444444,0,0.0444444444444444
"91",8,"KENNEDY",113,"BAVARIA",277.22789458,20993,75.7247030708,802,"UPZ113","BAVARIA",166766,9813,9638,53489,20057,33432,29585,393,1.3,275,0.9,26627,3304,12.4,31612,10621,33.6,16382,841,0,91,0,0,1223,6703,155,94,94,5993,4,3,6,5,7,4,44,0.0909090909090909,0.0681818181818182,0.136363636363636,0.113636363636364,0.159090909090909,0.0909090909090909
"92",11,"SUBA",3,"GUAYMARAL",453.636704291,167,0.3681359961,806,"UPZ3","GUAYMARAL",66427,69606,68365,21681,8255,13426,10604,20,0.2,1863,17.6,10515,1174,11.2,10995,5719,52,8233,299,29,0,0,0,156,1752,0,78,145,1655,3,0,1,2,0,0,8,0.375,0,0.125,0.25,0,0
"93",11,"SUBA",23,"CASA BLANCA SUBA",420.483819457,36521,86.8547095276,23,"UPZ23","CASA BLANCA SUBA",43554,112752,110741,14380,4394,9986,7334,0,0,4012,54.7,6869,462,6.7,7892,2895,36.7,4404,192,20,0,12,0,201,1051,73,42,120,963,2,20,8,13,2,0,50,0.04,0.4,0.16,0.26,0.04,0
"94",11,"SUBA",28,"EL RINCON",710.088818863,302006,425.30735871,28,"UPZ28","EL RINCON",370385,11319,11121,123245,52333,70911,70274,977,1.4,176,0.3,62726,9812,15.6,78899,19301,24.5,32575,3302,910,0,217,159,2753,10818,100,966,5474,9769,32,55,30,9,0,0,147,0.217687074829932,0.374149659863946,0.204081632653061,0.0612244897959184,0,0
"95",13,"TEUSAQUILLO",107,"QUINTA PAREDES",173.955954056,27099,155.780813293,107,"UPZ107","QUINTA PAREDES",18823,80209,78781,8445,3454,4992,2240,0,0,1276,56.9,3213,314,9.8,2051,2262,110.3,3389,195,0,0,0,0,16,1152,14,25,51,996,0,14,9,8,2,2,36,0,0.388888888888889,0.25,0.222222222222222,0.0555555555555556,0.0555555555555556
"96",15,"ANTONIO NARIÃ‘O",38,"RESTREPO",354.715513318,77022,217.137387873,38,"UPZ38","RESTREPO",77554,56861,55845,23913,8638,15275,13484,73,0.5,1959,14.5,12629,1940,15.4,14570,7440,51.1,10677,1330,30,0,0,0,291,5322,0,1386,4874,3881,1,16,19,12,7,13,70,0.0142857142857143,0.228571428571429,0.271428571428571,0.171428571428571,0.1,0.185714285714286
"97",19,"CIUDAD BOLIVAR",64,"MONTE BLANCO",695.674376728,5179,7.4445748949,815,"UPZ64","MONTE BLANCO",63145,40133,39416,20183,9314,10869,15604,279,1.8,1331,8.5,12568,3184,25.3,16973,2870,16.9,4268,1920,89,0,0,0,156,2807,38,189,570,2296,0,5,0,0,0,0,5,0,1,0,0,0,0
"98",2,"CHAPINERO",99,"CHAPINERO",159.30253068,20282,127.317500315,816,"UPZ99","CHAPINERO",53837,40997,40264,26683,12550,14132,5407,0,0,1631,30.2,10945,893,8.2,5816,4734,81.4,6535,380,0,0,256,0,119,1297,270,26,53,1083,6,16,18,18,8,5,72,0.0833333333333333,0.222222222222222,0.25,0.25,0.111111111111111,0.0694444444444444
"99",3,"SANTA FE",95,"LAS CRUCES",92.3683070697,23241,251.612276302,95,"UPZ95","LAS CRUCES",19244,20704,20703,7179,2770,4409,3179,29,0.9,410,12.9,2957,494,16.7,3373,2215,65.7,3238,798,162,0,0,0,234,894,7,27,80,822,2,5,8,5,3,0,31,0.0645161290322581,0.161290322580645,0.258064516129032,0.161290322580645,0.0967741935483871,0
"100",4,"SAN CRISTOBAL",32,"SAN BLAS",400.032231099,95245,238.093314977,32,"UPZ32","SAN BLAS",88193,26711,26240,26826,8478,18347,18029,74,0.4,280,1.6,15499,4136,26.7,19672,5729,29.1,8542,2099,0,44,0,0,612,3973,0,122,381,3720,13,22,18,4,4,2,86,0.151162790697674,0.255813953488372,0.209302325581395,0.0465116279069767,0.0465116279069767,0.0232558139534884
"101",9,"FONTIBON",76,"FONTIBON SAN PABLO",359.967843163,32134,89.2690850317,76,"UPZ76","FONTIBON SAN PABLO",41176,44154,43368,12670,3874,8796,7709,97,1.3,1498,19.4,7179,1642,22.9,8564,2152,25.1,3373,632,193,35,0,0,103,1008,0,115,425,877,3,28,3,0,0,0,41,0.0731707317073171,0.682926829268293,0.0731707317073171,0,0,0
"102",10,"ENGATIVA",116,"ALAMOS",200.244113699,13641,68.1218526129,810,"UPZ116","ALAMOS",90943,51955,51026,32286,11562,20725,12459,0,0,663,5.3,14590,1030,7.1,13669,10468,76.6,13773,1052,127,0,0,0,287,4184,64,0,0,3314,1,4,4,6,3,1,27,0.037037037037037,0.148148148148148,0.148148148148148,0.222222222222222,0.111111111111111,0.037037037037037
"103",11,"SUBA",17,"SAN JOSE DE BAVARIA",438.27316295,47774,109.005077287,806,"UPZ17","SAN JOSE DE BAVARIA",66427,69606,68365,21681,8255,13426,10604,20,0.2,1863,17.6,10515,1174,11.2,10995,5719,52,8233,299,29,0,0,0,156,1752,0,78,145,1655,2,5,2,3,4,1,20,0.1,0.25,0.1,0.15,0.2,0.05
"104",12,"BARRIOS UNIDOS",22,"DOCE DE OCTUBRE",336.255107979,98583,293.179189433,807,"UPZ22","DOCE DE OCTUBRE",121977,25225,24775,43124,18315,24809,16061,76,0.5,709,4.4,16683,1562,9.4,18496,14057,76,19429,1656,76,0,79,0,302,5815,76,31,62,5102,6,2,20,17,2,3,60,0.1,0.0333333333333333,0.333333333333333,0.283333333333333,0.0333333333333333,0.05
"105",13,"TEUSAQUILLO",101,"TEUSAQUILLO",235.700797363,27316,115.892692369,101,"UPZ101","TEUSAQUILLO",19451,21971,21583,9444,4240,5204,1769,11,0.6,325,18.4,3042,220,7.2,1767,2575,145.7,3806,201,16,7,0,0,54,447,88,28,56,434,4,10,15,14,11,11,71,0.0563380281690141,0.140845070422535,0.211267605633803,0.197183098591549,0.154929577464789,0.154929577464789
"106",16,"PUENTE ARANDA",40,"CIUDAD MONTES",445.578698505,105662,237.134316238,40,"UPZ40","CIUDAD MONTES",87522,61024,59935,29942,10607,19335,12611,95,0.8,383,3,14082,1633,11.6,12407,7919,63.8,11050,759,47,0,51,0,336,3729,111,97,369,3325,1,17,34,10,3,15,83,0.0120481927710843,0.204819277108434,0.409638554216867,0.120481927710843,0.036144578313253,0.180722891566265
"107",19,"CIUDAD BOLIVAR",67,"LUCERO",586.386549887,162669,277.409159592,67,"UPZ67","LUCERO",196262,36779,34277,60949,25335,35615,44818,394,0.9,1535,3.4,37237,11104,29.8,50255,10912,21.7,16040,5695,893,0,0,0,1907,8179,0,747,2051,7387,9,68,33,14,25,2,165,0.0545454545454545,0.412121212121212,0.2,0.0848484848484849,0.151515151515152,0.0121212121212121
"108",1,"USAQUEN",1,"PASEO DE LOS LIBERTADORES",630.952898115,3546,5.6200708652,804,"UPZ1","PASEO DE LOS LIBERTADORES",131490,25875,25414,46262,18579,27683,24922,418,1.7,395,1.6,22081,3316,15,27147,7500,27.6,11858,1533,208,0,0,0,1247,4040,225,35,142,3267,2,7,1,4,0,1,15,0.133333333333333,0.466666666666667,0.0666666666666667,0.266666666666667,0,0.0666666666666667
"109",1,"USAQUEN",13,"LOS CEDROS",672.263207867,102364,152.267740971,13,"UPZ13","LOS CEDROS",102981,27351,26863,44462,14800,29662,11454,0,0,402,3.5,13973,772,5.5,11555,13683,118.4,19600,637,26,0,0,0,92,3315,56,55,55,2972,11,36,22,35,9,1,114,0.0964912280701754,0.315789473684211,0.192982456140351,0.307017543859649,0.0789473684210526,0.0087719298245614
"110",2,"CHAPINERO",97,"CHICO LAGO",422.447428769,26291,62.2349627659,817,"UPZ97","CHICO LAGO",52951,20572,20206,26115,11665,14450,5187,0,0,883,17,7364,313,4.3,5176,7941,153.4,10848,586,178,0,0,0,83,3718,86,49,147,2755,6,33,32,33,16,5,129,0.0465116279069767,0.255813953488372,0.248062015503876,0.255813953488372,0.124031007751938,0.0387596899224806
"111",11,"SUBA",24,"NIZA",756.595298134,65073,86.0076716846,24,"UPZ24","NIZA",93195,144455,141877,39616,15526,24090,13664,181,1.3,4373,32,12614,965,7.7,13266,11944,90,16493,836,179,0,68,0,96,2893,114,42,84,2748,4,25,17,28,8,9,98,0.0408163265306122,0.255102040816327,0.173469387755102,0.285714285714286,0.0816326530612245,0.0918367346938776
"112",14,"LOS MARTIRES",102,"LA SABANA",450.942153879,52197,115.75098835,102,"UPZ102","LA SABANA",50379,47017,46178,19729,7544,12185,7499,112,1.5,847,11.3,8234,1138,13.8,7571,4871,64.3,7256,948,389,0,0,0,692,1744,149,99,216,1588,7,9,27,26,8,6,97,0.0721649484536082,0.0927835051546392,0.278350515463918,0.268041237113402,0.0824742268041237,0.0618556701030928
"113",17,"LA CANDELARIA",94,"LA CANDELARIA",206.024323421,24095,116.952210302,94,"UPZ94","LA CANDELARIA",22440,9622,9622,10231,4167,6064,3037,6,0.2,282,9.3,3432,574,16.7,3099,2826,91.2,4029,652,207,12,0,23,400,1164,55,44,175,999,2,12,7,0,2,3,28,0.0714285714285714,0.428571428571429,0.25,0,0.0714285714285714,0.107142857142857
